Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,V helio (z)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,(km/s)
GRB 021004,46.48**,1.8,4331,GRB,2006astro.ph..9262M,26:54.7,+18:55:41.3,114.9,-43.6,250249
GRB 021004,46.45*,0.52,5873,GRB,2006astro.ph.12285S,26:54.7,+18:55:41.3,114.9,-43.6,250249
GRB 050824,43.35*,1.29,2556,GRB,2006astro.ph.12285S,48:56.2,+22:36:31.2,122.2,-40.3,161922
CDFa C01,45.77**,1.58,2464,HII LF,2005MNRAS.356.1117S,53:34.7,+12:30:30.0,123.8,-50.4,266281
GRB 050904,49.34*,0.53,10122,GRB,2006astro.ph.12285S,54:50.8,+14:05:08.2,124.2,-48.8,288711
GRB 041006,43.91*,0.45,3528,GRB,2006astro.ph.12285S,54:54.0,+01:12:00.0,124.7,-61.7,147793
[PDG95a] J010120.60+041834.3,42.81*,0.22,2490,SNIa,2004ApJ...607..665R,01:20.6,+04:18:34.3,127.7,-58.5,109220
[PDG95a] J010135.35+042614.1,43.21*,0.24,2927,SNIa,2004ApJ...607..665R,01:35.4,+04:26:14.1,127.8,-58.3,114964
GRB 050908,46.97*,0.79,5703,GRB,2006astro.ph.12285S,21:50.7,-12:57:19.0,151.1,-74.1,269618
MS 0122.1+0903,41.40*,. . .,1526,BL Lac M,2005ApJ...635..173S,24:44.5,+09:18:50.0,136.6,-52.7,65580
GRB 000210,42.45*,0.67,1674,GRB,2006astro.ph.12285S,59:15.6,-40:39:33.1,261.3,-70.5,166972
GRB 000210,<43.90**,0.29,2346,GRB,2006astro.ph..9262M,59:15.6,-40:39:33.1,261.3,-70.5,166972
MS 0158.5+0019,40.90*,. . .,1166,BL Lac M,2005ApJ...635..173S,01:06.2,+00:34:00.1,156.9,-57.6,76603
PKS 0201+113 B13,47.49**,3.43,7057,HII LF,2005MNRAS.356.1117S,03:49.2,+11:36:10.7,149.7,-47.5,245432
GRB 040924,43.84*,0.61,3153,GRB,2006astro.ph.12285S,06:22.6,+16:06:48.8,147.9,-43.1,165232
H-ZSNS J020954.02-052817.8,40.79*,0.32,1013,SNIa,2004ApJ...607..665R,09:54.0,-05:28:17.8,167.2,-61.4,101017
H-ZSNS J021132.03-041356.1,42.77*,0.21,2436,SNIa,2004ApJ...607..665R,11:32.0,-04:13:56.1,166.3,-60.2,110104
GRB 050406,47.92*,0.78,11150,GRB,2006astro.ph.12285S,17:52.4,-50:11:14.9,273.2,-61.6,253073
GRB 000911,>44.00**,0.46,2238,GRB,2006astro.ph..9262M,18:34.4,+07:44:27.7,157.2,-49.2,185312
GRB 000911,45.10*,0.68,5088,GRB,2006astro.ph.12285S,18:34.4,+07:44:27.7,157.2,-49.2,185312
[AGR2006] J022410.39-040214.9,42.429*,0.039,2035,SNIa,2006A&A...447...31A,24:10.4,-04:02:14.9,170.8,-58,115984
[HSP2005] J022414.08-043956.98,43.871*,0.344,3183,SNIa,2006A&A...447...31A,24:14.1,-04:39:56.9,171.6,-58.5,166237
[AGR2006] J022414.78-043101.6,42.881*,0.054,2395,SNIa,2006A&A...447...31A,24:14.8,-04:31:01.6,171.4,-58.4,128616
[HSP2005] J022423.32-044314.41,42.180*,0.038,1824,SNIa,2006A&A...447...31A,24:23.3,-04:43:14.4,171.7,-58.5,114622
[AGR2006] J022441.12-041719.6,42.511*,0.029,2041,SNIa,2006A&A...447...31A,24:41.1,-04:17:19.7,171.3,-58.1,124693
[HSP2005] J022455.28-042303.68,44.095*,0.301,3525,SNIa,2006A&A...447...31A,24:55.3,-04:23:03.7,171.5,-58.2,166460
[PDG95a] J022455.55+005307.7,42.04*,0.19,1828,SNIa,2004ApJ...607..665R,24:55.6,+00:53:07.7,165.5,-54.1,97230
[AGR2006] J022456.02-040737.1,42.825*,0.08,2373,SNIa,2006A&A...447...31A,24:56.0,-04:07:37.1,171.2,-58,123252
[AGR2006] J022543.62-040838.9,40.946*,0.013,1162,SNIa,2006A&A...447...31A,25:43.6,-04:08:38.9,171.5,-57.8,83458
SNLS 04D1ln,39.7,0.15,871,SNII,2006ApJ...645..841N,25:53.5,-04:27:03.8,171.9,-58,55794
[AGR2006] J022553.98-045940.5,43.209*,0.106,2547,SNIa,2006A&A...447...31A,25:53.9,-04:59:40.5,172.6,-58.4,148452
[AGR2006] J022558.32-040744.1,43.046*,0.049,2409,SNIa,2006A&A...447...31A,25:58.3,-04:07:44.2,171.5,-57.8,144030
[HSP2005] J022616.23-045605.76,43.398*,0.088,2848,SNIa,2006A&A...447...31A,26:16.2,-04:56:05.8,172.7,-58.3,142794
[PDG95a] J022625.82+004844.4,42.85*,0.23,2301,SNIa,2004ApJ...607..665R,26:25.8,+00:48:44.4,166.1,-53.9,133621
H-ZSNS J022633.31+002535.0,43.33*,0.32,2729,SNIa,2004ApJ...607..665R,26:33.3,+00:25:35.0,166.5,-54.2,145388
[AGR2006] J022637.71-045019.5,41.367*,0.021,1394,SNIa,2006A&A...447...31A,26:37.7,-04:50:19.6,172.7,-58.2,86547
SNLS 04D1pj,39.69,0.15,867,SNII,2006ApJ...645..841N,26:50.3,-04:12:07.6,171.9,-57.7,43056
[HSP2005] J022655.68-041808.10,43.490*,0.09,2772,SNIa,2006A&A...447...31A,26:55.7,-04:18:08.1,172.1,-57.8,158381
[AGR2006] J022733.39-041938.7,42.644*,0.055,2214,SNIa,2006A&A...447...31A,27:33.4,-04:19:38.7,172.3,-57.7,119665
H-ZSNS J022734.53+011149.4,42.74*,0.23,2403,SNIa,2004ApJ...607..665R,27:34.5,+01:11:49.4,166,-53.4,110104
H-ZSNS J022758.33+003936.8,41.62*,0.31,1551,SNIa,2004ApJ...607..665R,27:58.3,+00:39:36.8,166.7,-53.8,89382
H-ZSNS J022807.13+002645.1,44.09*,0.28,3623,SNIa,2004ApJ...607..665R,28:07.1,+00:26:45.1,167,-53.9,160167
H-ZSNS J022823.72+003909.6,43.76*,0.33,3121,SNIa,2004ApJ...607..665R,28:23.7,+00:39:09.6,166.9,-53.7,159575
H-ZSNS J022853.88+011624.2,44.25*,0.23,3453,SNIa,2004ApJ...607..665R,28:53.9,+01:16:24.2,166.4,-53.2,184543
H-ZSNS J022900.29+002044.2,44.23*,0.19,3721,SNIa,2004ApJ...607..665R,29:00.3,+00:20:44.2,167.4,-53.9,168109
H-ZSNS J022905.71+004720.1,43.22*,0.26,2563,SNIa,2004ApJ...607..665R,29:05.7,+00:47:20.1,167,-53.5,148189
H-ZSNS J023021.05+010348.5,41.96*,0.41,1601,SNIa,2004ApJ...607..665R,30:21.1,+01:03:48.5,167.1,-53.1,121959
H-ZSNS J023035.62+010943.3,43.99*,0.25,3254,SNIa,2004ApJ...607..665R,30:35.6,+01:09:43.3,167.1,-53,172893
1ES 0229+200,39.38*,. . .,660,BL Lac M,2005ApJ...635..173S,32:48.6,+20:17:17.5,152.9,-36.6,38799
H-ZSNS J023354.39+003255.6,42.29*,0.28,1966,SNIa,2004ApJ...607..665R,33:54.4,+00:32:55.6,168.8,-52.9,108330
GRB 050603,45.45*,0.61,3220,GRB,2006astro.ph.12285S,39:56.9,-25:10:54.6,214.5,-65.6,261358
[K95] J025730.70-014119.8,40.76*,0.6,1144,SNIa,2004ApJ...607..665R,57:30.7,-01:41:19.8,178.2,-50.5,63512
MS 0257.9+3429,40.84*,. . .,1181,BL Lac M,2005ApJ...635..173S,01:03.8,+34:41:00.9,151.1,-21,65122
[PDG95a] J030107.58+022120.8,42.37*,0.2,2013,SNIa,2004ApJ...607..665R,01:07.6,+00:21:20.8,176.9,-48.5,111858
[K95] J031228.13+004143.4,40.44*,0.46,942,SNIa,2004ApJ...607..665R,12:28.1,+00:41:43.4,179.4,-46.1,76898
GRB 050318,45.71*,0.47,5683,GRB,2006astro.ph.12285S,18:51.2,-46:23:43.7,256.5,-55.2,213566
"MS 0317.0+1834; LEDA 138616",40.12*,. . .,888,BL Lac M,2005ApJ...635..173S,19:51.8,+18:45:34.2,165.1,-31.7,51630
COMBO-17 40328,45.09*,0.45,4343,SNIa,2004ApJ...607..665R,32:06.8,-27:44:34.2,223.4,-54.5,211096
COMBO-17 40328,45.28*,0.81,4740,SNIa,2006astro.ph.11572R,32:06.8,-27:44:34.2,223.4,-54.5,211096
SN HST04Mcg,45.23*,0.25,4691,SNIa,2006astro.ph.11572R,32:10.0,-27:49:49.98,223.6,-54.5,209178
SN HST04Rak,43.38*,0.22,2726,SNIa,2006astro.ph.11572R,32:18.2,-27:44:10.55,223.4,-54.4,150923
SN HST04Gre,44.44*,0.31,3611,SNIa,2006astro.ph.11572R,32:21.5,-27:46:58.30,223.5,-54.5,192332
COMBO-17 40676,43.09*,0.19,2392,SNIa,2004ApJ...607..665R,32:22.2,-27:44:26.9,223.5,-54.4,150278
COMBO-17 40676,43.14*,0.19,2447,SNIa,2006astro.ph.11572R,32:22.2,-27:44:26.9,223.5,-54.4,150278
COMBO-17 46259,43.08*,0.27,2707,SNIa,2006astro.ph.11572R,32:22.6,-27:41:52.3,223.4,-54.4,119665
COMBO-17 46259,43.01*,0.27,2621,SNIa,2004ApJ...607..665R,32:22.6,-27:41:52.3,223.4,-54.4,119665
COMBO-17 36727,44.70*,0.22,3779,SNIa,2004ApJ...607..665R,32:24.8,-27:46:17.8,223.5,-54.4,204817
COMBO-17 36727,44.51*,0.3,3462,SNIa,2006astro.ph.11572R,32:24.8,-27:46:17.8,223.5,-54.4,204817
SN HST04Omb,44.21*,0.26,3519,SNIa,2006astro.ph.11572R,32:25.3,-27:45:03.01,223.5,-54.4,177444
APMUKS(BJ) B033029.00-275002.4,40.33*,0.19,957,SNIa,2006astro.ph.11572R,32:34.7,-27:39:57.1,223.3,-54.4,57893
APMUKS(BJ) B033029.00-275002.4,40.33*,0.18,957,SNIa,2004ApJ...607..665R,32:34.7,-27:39:57.1,223.3,-54.4,57893
SN HST04Kur,41.23*,0.39,1297,SNIa,2006astro.ph.11572R,32:36.0,-27:51:17.66,223.7,-54.4,89181
COMBO-17 35663,45.06*,0.2,4470,SNIa,2006astro.ph.11572R,32:37.6,-27:46:46.7,223.5,-54.4,204469
COMBO-17 35663,45.27*,0.19,4923,SNIa,2004ApJ...607..665R,32:37.6,-27:46:46.7,223.5,-54.4,204469
COMBO-17 18702,44.99*,0.31,4315,SNIa,2006astro.ph.11572R,32:44.3,-27:55:06.3,223.8,-54.4,204817
SN HST05Zwi,42.05*,0.37,1690,SNIa,2006astro.ph.11572R,32:45.7,-27:44:24.30,223.5,-54.4,118837
COMBO-17 19434,45.07*,0.32,4048,SNIa,2006astro.ph.11572R,32:46.9,-27:54:49.1,223.8,-54.4,219929
COMBO-17 19434,45.30*,0.22,4501,SNIa,2004ApJ...607..665R,32:46.9,-27:54:49.1,223.8,-54.4,219929
MS 0331.3-3629,40.96*,. . .,1190,BL Lac M,2005ApJ...635..173S,33:12.2,-36:19:48.0,238.3,-54.7,78614
GRB 060115,47.80*,0.82,8015,GRB,2006astro.ph.12285S,36:11.0,+17:21:00.0,169.6,-30.2,271932
GRB 060223,47.93*,0.61,7125,GRB,2006astro.ph.12285S,40:52.0,-17:08:00.0,207.6,-49.7,279983
"RBS 0476; 1ES 0347-121",39.85*,. . .,788,BL Lac M,2005ApJ...635..173S,49:23.2,-11:59:27.0,201.9,-45.7,50404
PKS 0347-383 C05,47.12**,0.44,4443,HII LF,2005MNRAS.356.1117S,49:43.5,-38:10:04.9,241,-51.3,268240
GRB 060210,48.08*,0.46,8412,GRB,2006astro.ph.12285S,50:55.0,+27:02:00.0,165.2,-20.8,275912
H-ZSNS J041403.88+041755.0,42.38*,0.21,2035,SNIa,2004ApJ...607..665R,14:03.9,+04:17:55.0,188.2,-31.9,110104
H-ZSNS J041502.44+042318.1,42.41*,0.25,2036,SNIa,2004ApJ...607..665R,15:02.4,+04:23:18.1,188.3,-31.7,113592
[HB89] 0414+009,41.05*,. . .,1260,BL Lac M,2005ApJ...635..173S,16:52.5,+01:05:23.9,191.8,-33.2,74076
MS 0419.3+1943,43.68*,. . .,3601,BL Lac M,2005ApJ...635..173S,22:18.3,+19:50:55.8,176,-20.6,117334
H-ZSNS J043741.45-012933.1,43.12*,0.17,2374,SNIa,2004ApJ...607..665R,37:41.5,-01:29:33.1,197.6,-30.1,154965
H-ZSNS J043913.82-012318.2,43.91*,0.26,3060,SNIa,2004ApJ...607..665R,39:13.8,-01:23:18.2,197.8,-29.8,177739
H-ZSNS J043922.39-013251.4,43.55*,0.29,2798,SNIa,2004ApJ...607..665R,39:22.4,-01:32:51.4,197.9,-29.8,162269
H-ZSNS J043930.68-012821.9,43.75*,0.38,3001,SNIa,2004ApJ...607..665R,39:30.7,-01:28:21.9,197.9,-29.7,166902
[PDG95a] J044033.70-053001.9,42.13*,0.21,1839,SNIa,2004ApJ...607..665R,40:33.7,-05:30:01.9,202.1,-31.5,106534
H-ZSNS J045514.27-055144.8,43.04*,0.21,2567,SNIa,2004ApJ...607..665R,55:14.3,-05:51:44.8,204.5,-28.5,128306
H-ZSNS J045611.63-034126.0,44.03*,0.3,3439,SNIa,2004ApJ...607..665R,56:11.6,-03:41:26.0,202.4,-27.2,165344
H-ZSNS J045856.32-035929.4,42.66*,0.18,2210,SNIa,2004ApJ...607..665R,58:56.3,-03:59:29.4,203.1,-26.8,121959
H-ZSNS J045936.57-030934.6,42.56*,0.18,2125,SNIa,2004ApJ...607..665R,59:36.6,-03:09:34.6,202.4,-26.2,120324
H-ZSNS J045937.31-030901.6,39.79*,0.18,769,SNIa,2004ApJ...607..665R,59:37.3,-03:09:01.6,202.4,-26.2,49172
GRB 970228,42.79*,0.71,2132,GRB,2006astro.ph.12285S,01:57.0,+11:46:24,188.9,-17.9,144982
"RGB J0507+676; 1ES 0502+675",41.37*,. . .,1430,BL Lac M,2005ApJ...635..173S,07:56.3,+67:37:24.4,143.8,15.9,79890
GRB 060124,47.02*,0.44,7692,GRB,2006astro.ph.12285S,08:10.0,+69:43:00.0,142,17.1,249253
GRB 991216,42.53*,1.23,1587,GRB,2006astro.ph.12285S,09:31.2,+11:17:07.0,190.4,-16.6,181764
GRB 991216,44.02**,0.83,2301,GRB,2006astro.ph..9262M,09:31.2,+11:17:07.0,190.4,-16.6,181764
1H 0506-039,41.10*,. . .,1273,BL Lac M,2005ApJ...635..173S,09:38.1,-04:00:45.5,204.5,-24.4,77758
GRB 990705,43.98**,0.43,2477,GRB,2006astro.ph..9262M,09:54.8,-72:07:54.0,283.5,-33.4,163357
GRB 990705,43.77*,0.46,3080,GRB,2006astro.ph.12285S,09:54.8,-72:07:54.0,283.5,-33.4,163357
GRB 060116,48.42*,0.95,6356,GRB,2006astro.ph.12285S,38:48.0,-05:27:00.0,209.5,-18.6,289588
GRB 000131,>47.06**,0.44,3421,GRB,2006astro.ph..9262M,13:31.1,-51:56:41.7,260,-26.7,280666
GRB 000131,47.72*,0.69,6350,GRB,2006astro.ph.12285S,13:31.1,-51:56:41.7,260,-26.7,280666
MS 0607.9+7108,41.08*,. . .,1298,BL Lac M,2005ApJ...635..173S,13:43.3,+71:07:26.7,143.2,22.6,69651
GRB 060510,48.71*,0.95,9357,GRB,2006astro.ph.12285S,23:29.0,-01:10:00.0,210.8,-6.8,283049
GRB 970508,43.92*,0.43,3314,GRB,2006astro.ph.12285S,53:28.0,+79:17:24.0,134.9,26.7,162488
GRB 970508,45.1**,0.47,4166,GRB,2006astro.ph..9262M,53:28.0,+79:17:24.0,134.9,26.7,162488
1ES 0715-259,42.94*,. . .,2643,BL Lac M,2005ApJ...635..173S,18:04.8,-26:08:11.6,239.2,-6.2,109220
MS 0737.9+7441,41.04*,. . .,1228,BL Lac M,2005ApJ...635..173S,44:05.3,+74:33:57.6,140.3,29.6,80102
H-ZSNS J074855.70+100606.3,42.02*,0.17,1781,SNIa,2004ApJ...607..665R,48:55.7,+10:06:06.3,210.3,17.3,101578
H-ZSNS J075013.53+101710.4,40.89*,0.3,1079,SNIa,2004ApJ...607..665R,50:13.5,+10:17:10.4,210.2,17.7,96558
H-ZSNS J075031.24+102107.3,43.99*,0.38,3244,SNIa,2004ApJ...607..665R,50:31.2,+10:21:07.3,210.2,17.8,173513
H-ZSNS J075035.90+095814.2,43.90*,0.3,3202,SNIa,2004ApJ...607..665R,50:35.9,+09:58:14.2,210.6,17.6,167781
H-ZSNS J075039.32+102019.1,40.71*,0.27,1035,SNIa,2004ApJ...607..665R,50:39.3,+10:20:19.1,210.2,17.8,85236
H-ZSNS J080045.31+053127.4,42.56*,0.27,2227,SNIa,2004ApJ...607..665R,00:45.3,+05:31:27.4,215.9,17.9,108330
H-ZSNS J080045.31+053127.4,42.62*,0.21,2289,SNIa,2006ApJ...642....1C,00:45.3,+05:31:27.4,215.9,17.9,108330
H-ZSNS J080045.31+053127.4,42.63*,0.14,2300,SNIa,2006ApJ...642....1C,00:45.3,+05:31:27.4,215.9,17.9,108330
H-ZSNS J080451.56+051547.7,42.91*,0.81,2021,SNIa,2004ApJ...607..665R,04:51.6,+05:15:47.7,216.6,18.7,168653
GRB 021211,42.32*,1.02,1448,GRB,2006astro.ph.12285S,08:59.9,+06:43:37.5,215.7,20.3,180830
1ES 0806+524,39.12*,. . .,586,BL Lac M,2005ApJ...635..173S,09:49.2,+52:18:58.7,166.2,32.9,38540
[PDG95a] J081906.45+074321.0,42.07*,0.19,1869,SNIa,2004ApJ...607..665R,19:06.5,+07:43:21.0,216,23,94914
H-ZSNS J082138.13+032510.5,43.81*,0.35,3248,SNIa,2004ApJ...607..665R,21:38.1,+03:25:10.5,220.4,21.6,155952
H-ZSNS J082350.03+032852.8,39.98*,0.18,840,SNIa,2004ApJ...607..665R,23:50.0,+03:28:52.8,220.7,22.1,49172
