Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,V helio (z)
H-ZSNS J134336.92+021930.6,42.36*,0.25,2073,SNIa,2004ApJ...607..665R,43:36.9,+02:19:30.6,331.9,62.2,102878
H-ZSNS J134435.97-001949.3,41.76*,0.23,1606,SNIa,2004ApJ...607..665R,44:35.9,-00:19:49.3,330,59.7,97230
H-ZSNS J134556.16+022653.7,42.25*,0.19,1885,SNIa,2004ApJ...607..665R,45:56.2,+02:26:53.7,333.1,62.1,114451
H-ZSNS J134620.89+020240.4,42.78*,0.26,2193,SNIa,2004ApJ...607..665R,46:20.9,+02:02:40.4,332.9,61.7,137286
SCP J134709.90+022357.5,43.85*,0.19,3218,SNIa,2004ApJ...607..665R,47:09.9,+02:23:57.5,333.6,61.9,161922
H-ZSNS J134744.72+022057.2,43.35*,0.3,2673,SNIa,2004ApJ...607..665R,47:44.7,+02:20:57.2,333.9,61.8,152202
GRB 020405,43.99**,0.67,2713,GRB,2006astro.ph..9262M,58:10.0,-31:23:00.0,319.3,29.4,144289
GRB 020405,43.68*,0.51,3222,GRB,2006astro.ph.12285S,58:10.0,-31:23:00.0,319.3,29.4,144289
SCP J140157.75+044342.4,42.68*,0.19,2227,SNIa,2004ApJ...607..665R,01:57.8,+04:43:42.4,342.9,62,122445
MS 1407.9+5954,42.15*,. . .,1799,BL Lac M,2005ApJ...635..173S,09:23.5,+59:39:40.8,105.9,54.8,114595
[HSP2005] J141618.22+521626.09,43.652*,0.254,2958,SNIa,2006A&A...447...31A,16:18.2,+52:16:26.1,96.4,60.3,160402
LSSP J141633.45+522030.5,40.999*,0.033,1227,SNIa,2006A&A...447...31A,16:33.5,+52:20:30.5,96.4,60.2,74949
[HSP2005] J141635.93+522844.20,41.259*,0.01,1336,SNIa,2006A&A...447...31A,16:35.9,+52:28:44.2,96.6,60.1,84700
[HSP2005] J141639.10+530535.66,43.954*,0.268,3168,SNIa,2006A&A...447...31A,16:39.1,+53:05:35.7,97.4,59.6,174944
[AGR2006] J141651.96+524845.7,43.176*,0.077,2525,SNIa,2006A&A...447...31A,16:51.9,+52:48:45.7,97,59.8,146997
[HSP2005] J141657.90+522246.53,43.287*,0.075,2626,SNIa,2006A&A...447...31A,16:57.9,+52:22:46.5,96.4,60.1,149630
[AGR2006] J141746.11+521603.3,42.796*,0.039,2251,SNIa,2006A&A...447...31A,17:46.1,+52:16:03.4,96.1,60.1,132875
GSS 074_5532,44.673*,0.533,4280,SNIa,2006A&A...447...31A,17:48.4,+52:28:13.7,96.3,60,180830
[AGR2006] J141750.03+525748.9,43.030*,0.06,2492,SNIa,2006A&A...447...31A,17:50.0,+52:57:48.9,97,59.6,134362
[AGR2006] J141758.44+522857.6,41.488*,0.03,1447,SNIa,2006A&A...447...31A,17:58.4,+52:28:57.6,96.3,59.9,91577
[AGR2006] J141810.04+521639.8,42.268*,0.032,1933,SNIa,2006A&A...447...31A,18:10.0,+52:16:39.9,96,60.1,110104
[AGR2006] J141812.45+523930.4,43.023*,0.059,2449,SNIa,2006A&A...447...31A,18:12.5,+52:39:30.4,96.5,59.8,137718
[AGR2006] J141826.19+523142.7,41.474*,0.013,1452,SNIa,2006A&A...447...31A,18:26.2,+52:31:42.7,96.3,59.9,88980
LSSP J141839.89+523645.7,42.031*,0.058,1744,SNIa,2006A&A...447...31A,18:39.9,+52:36:45.7,96.3,59.8,108508
[HSP2005] J141856.33+521115.06,43.691*,0.301,3024,SNIa,2006A&A...447...31A,18:56.3,+52:11:15.1,95.7,60.1,159575
[AGR2006] J141907.89+530419.1,40.682*,0.013,1084,SNIa,2006A&A...447...31A,19:07.9,+53:04:19.2,96.8,59.4,68754
[AGR2006] J141934.59+521732.6,44.430*,0.43,3985,SNIa,2006A&A...447...31A,19:34.6,+52:17:32.6,95.7,59.9,172893
[HSP2005] J141939.38+523314.21,43.453*,0.058,2793,SNIa,2006A&A...447...31A,19:39.4,+52:33:14.2,96,59.7,152963
LSSP J141945.30+523224.7,42.089*,0.034,1789,SNIa,2006A&A...447...31A,19:45.3,+52:32:24.7,96,59.7,108864
PG 1418+546,39.26*,. . .,617,BL Lac M,2005ApJ...635..173S,19:46.6,+54:23:14.8,98.3,58.3,42282
[HSP2005] J141950.92+523011.85,43.941*,0.496,3097,SNIa,2006A&A...447...31A,19:50.9,+52:30:11.9,95.9,59.7,178229
[HSP2005] J142013.67+521658.60,44.259*,0.346,3722,SNIa,2006A&A...447...31A,20:13.7,+52:16:58.6,95.5,59.9,170797
[AGR2006] J142023.95+524915.4,44.414*,0.347,4172,SNIa,2006A&A...447...31A,20:23.9,+52:49:15.5,96.2,59.4,161922
LSSP J142053.55+523620.4,41.866*,0.03,1630,SNIa,2006A&A...447...31A,20:53.6,+52:36:20.4,95.8,59.6,106353
[HSP2005] J142108.00+525829.74,43.544*,0.218,2807,SNIa,2006A&A...447...31A,21:08.0,+52:58:29.7,96.2,59.3,160990
LSSP J142114.54+523218.1,42.592*,0.083,2153,SNIa,2006A&A...447...31A,21:14.5,+52:32:18.1,95.6,59.6,120653
SDSS J142135.88+523138.9,40.571*,0.02,1041,SNIa,2006A&A...447...31A,21:35.9,+52:31:39.0,95.5,59.5,65580
[HSP2005] J142206.87+521343.46,42.461*,0.035,2001,SNIa,2006A&A...447...31A,22:06.9,+52:13:43.5,95,59.7,123894
[HSP2005] J142226.72+522000.92,41.323*,0.012,1372,SNIa,2006A&A...447...31A,22:26.7,+52:20:00.9,95.1,59.6,85318
[AGR2006] J142232.61+523849.3,42.038*,0.03,1762,SNIa,2006A&A...447...31A,22:32.6,+52:38:49.3,95.5,59.4,106714
SNLS 03D3ce,41.1,0.4,1660,SNII,2006ApJ...645..841N,22:33.0,+52:22:53.9,95.1,59.5,74731
[AGR2006] J142233.47+521107.4,43.170*,0.09,2457,SNIa,2006A&A...447...31A,22:33.5,+52:11:07.4,94.9,59.7,152456
[HSP2005] J142238.52+523855.89,43.622*,0.234,2705,SNIa,2006A&A...447...31A,22:38.5,+52:38:55.9,95.5,59.3,175952
PKS 1422+231 D81,48.81**,0.4,9997,HII LF,2005MNRAS.356.1117S,24:31.4,+22:59:51.5,27,68.6,266235
GRB 050802,45.59*,1.05,4842,GRB,2006astro.ph.12285S,37:05.8,+27:47:10.8,40.7,66.6,227935
1ES 1440+122,39.45*,. . .,667,BL Lac M,2005ApJ...635..173S,42:48.3,+12:00:40.3,8.3,59.8,44944
GRB 010222,44.48*,0.42,3177,GRB,2006astro.ph.12285S,52:12.6,+43:01:06.3,73.9,60.9,215757
GRB 010222,45.28**,0.21,3353,GRB,2006astro.ph..9262M,52:12.6,+43:01:06.3,73.9,60.9,215757
MS 1458.8+2249,40.38*,. . .,965,BL Lac M,2005ApJ...635..173S,01:01.8,+22:38:06.5,31.4,60.4,62354
MS 1512-cB58,47.49**,1.57,6003,HII LF,2005MNRAS.356.1117S,14:22.3,+36:36:25.2,59.4,58.4,259452
GRB 990123,44.00**,0.53,1771,GRB,2006astro.ph..9262M,25:29.0,+44:45:30.0,73.1,54.6,222536
GRB 990123,44.99*,0.45,3814,GRB,2006astro.ph.12285S,25:29.0,+44:45:30.0,73.1,54.6,222536
H-ZSNS J153011.25+055527.0,42.58*,0.19,2263,SNIa,2004ApJ...607..665R,30:11.3,+05:55:27.0,10.9,46.7,106534
GRB 060526,47.35*,0.46,7010,GRB,2006astro.ph.12285S,31:23.0,+00:15:00.0,4.7,43.1,267770
MS 1534.2+0148,41.10*,. . .,1265,BL Lac M,2005ApJ...635..173S,36:46.8,+01:37:59.5,7.3,42.9,79466
PKS 1538+149,42.79*,. . .,2252,BL Lac M,2005ApJ...635..173S,40:49.5,+14:47:45.9,24.3,48.8,132124
GRB 060418,45.45*,0.56,4943,GRB,2006astro.ph.12285S,45:41.0,-03:39:00.0,3.6,37.9,216460
GRB 060502,44.71*,0.66,3486,GRB,2006astro.ph.12285S,03:26.0,+66:36:00.0,99.9,40.9,217659
GRB 000301C,46.30**,0.4,4379,GRB,2006astro.ph..9262M,20:18.5,+29:26:35.0,48.7,44.3,241022
[HB89] 1623+269:BX432,45.45**,3.07,2748,HII LF,2005MNRAS.356.1117S,25:48.7,+26:46:47.1,45.4,42.6,245889
[HB89] 1623+269:MD107,44.82**,1.58,1846,HII LF,2005MNRAS.356.1117S,25:53.9,+26:45:15.2,45.4,42.6,255420
GRB 050401,46.67*,0.59,5533,GRB,2006astro.ph.12285S,31:28.8,+02:11:14.2,17.4,31.8,262804
GRB 991208,41.69*,0.67,1276,GRB,2006astro.ph.12285S,33:53.5,+46:27:21.0,72.4,42.6,146389
GRB 991208,>43.35**,0.86,2001,GRB,2006astro.ph..9262M,33:53.5,+46:27:21.0,72.4,42.6,146389
H-ZSNS J165300.27+350346.4,44.13*,0.38,3400,SNIa,2004ApJ...607..665R,53:00.3,+35:03:46.4,57.6,38.5,176949
HS 1700+6416:BX717,46.64**,1.58,4398,HII LF,2005MNRAS.356.1117S,00:57.0,+64:12:23.7,94.4,36.2,252955
HS 1700+6416:[SSE2005] MD0103,46.72**,1.8,4729,HII LF,2005MNRAS.356.1117S,01:00.2,+64:11:55.6,94.4,36.2,249782
GRB 030528,44.30*,0.59,4065,GRB,2006astro.ph.12285S,04:02.0,-22:39:00.0,0,11.3,156197
GRB 000926,45.93**,0.92,3688,GRB,2006astro.ph..9262M,04:09.7,+51:47:10.5,78.9,37.3,241161
GRB 000926,45.62*,0.69,4339,GRB,2006astro.ph.12285S,04:09.7,+51:47:10.5,78.9,37.3,241161
MS 1704.9+6046,40.74*,. . .,1098,BL Lac M,2005ApJ...635..173S,05:34.8,+60:42:15.8,90,36.3,72539
H-ZSNS J170748.26+440126.2,42.08*,0.19,1810,SNIa,2004ApJ...607..665R,07:48.3,+44:01:26.2,69.2,36.6,104717
PKS 1749+096,41.49*,. . .,1505,BL Lac M,2005ApJ...635..173S,51:32.8,+09:39:00.7,34.9,17.6,81157
MS 1757.7+7034,41.70*,. . .,1555,BL Lac M,2005ApJ...635..173S,57:13.2,+70:33:37.4,101,30,98566
GRB 970828,43.86**,0.45,2206,GRB,2006astro.ph..9262M,08:31.7,+59:18:50.0,88.2,28.5,175738
GRB 970828,43.58*,0.46,2656,GRB,2006astro.ph.12285S,08:31.7,+59:18:50.0,88.2,28.5,175738
[HB89] 1823+568,43.06*,. . .,2459,BL Lac M,2005ApJ...635..173S,24:07.1,+56:51:01.5,85.7,26.1,140705
GRB 050126,45.71*,0.57,6056,GRB,2006astro.ph.12285S,32:27.0,+42:22:14.0,70.8,21.2,203768
"GRB 050525; SN 2005nc",43.34*,0.42,2899,GRB,2006astro.ph.12285S,32:32.6,+26:20:22.6,55,15.5,132275
1ES 1853+671,40.13*,. . .,876,BL Lac M,2005ApJ...635..173S,53:52.0,+67:13:55.0,97.7,24.6,56942
H 1914-194,39.33*,. . .,646,BL Lac M,2005ApJ...635..173S,17:44.8,-19:21:30.6,18.2,-14.3,38281
GRB 020813,44.11*,0.41,2950,GRB,2006astro.ph.12285S,46:41.9,-19:36:05.1,20.8,-20.7,201185
GRB 020813,45.00**,1.07,3239,GRB,2006astro.ph..9262M,46:41.9,-19:36:05.1,20.8,-20.7,201185
[HB89] 2007+777,41.60*,. . .,1625,BL Lac M,2005ApJ...635..173S,05:30.9,+77:52:43.1,110.5,22.7,85729
GRB 050922C,45.92*,0.57,4777,GRB,2006astro.ph.12285S,09:33.1,-08:45:29.6,41.3,-34.6,246388
GRB 060605,47.21*,0.72,5873,GRB,2006astro.ph.12285S,28:35.0,-06:04:00.0,47,-37.5,273941
GRB 060607,46.48*,0.59,4843,GRB,2006astro.ph.12285S,58:51.0,-22:30:00.0,29.9,-50.8,265846
GRB 051109,45.82*,0.83,4360,GRB,2006astro.ph.12285S,01:11.0,+40:50:00.0,91.5,-11.4,250629
[HSP2005] J221340.46-174053.90,44.553*,0.38,4224,SNIa,2006A&A...447...31A,13:40.5,-17:40:53.9,39.1,-52.5,172582
[AGR2006] J221410.24-173024.1,43.708*,0.258,2895,SNIa,2006A&A...447...31A,14:10.2,-17:30:24.2,39.4,-52.5,170265
SNLS 04D4fu,38.94,0.14,614,SNII,2006ApJ...645..841N,14:11.5,-17:32:32.7,39.4,-52.6,37241
[AGR2006] J221422.90-174402.4,42.761*,0.047,2256,SNIa,2006A&A...447...31A,14:22.9,-17:44:02.5,39.1,-52.7,128461
[AGR2006] J221424.02-174636.0,43.133*,0.064,2592,SNIa,2006A&A...447...31A,14:24.0,-17:46:36.0,39,-52.7,136270
[AGR2006] J221433.75-173515.3,43.507*,0.272,2580,SNIa,2006A&A...447...31A,14:33.8,-17:35:15.4,39.4,-52.7,174842
[HSP2005] J221444.17-173144.47,42.465*,0.07,1981,SNIa,2006A&A...447...31A,14:44.2,-17:31:44.5,39.5,-52.7,126904
APMUKS(BJ) B221202.39-175918.2,40.731*,0.015,1090,SNIa,2006A&A...447...31A,14:45.8,-17:44:22.3,39.1,-52.8,73639
[AGR2006] J221449.39-174939.3,42.487*,0.056,2028,SNIa,2006A&A...447...31A,14:49.4,-17:49:39.4,39,-52.8,123574
[AGR2006] J221450.51-175723.2,42.515*,0.029,1985,SNIa,2006A&A...447...31A,14:50.5,-17:57:23.2,38.8,-52.9,131974
[AGR2006] J221507.68-180336.7,43.475*,0.185,2693,SNIa,2006A&A...447...31A,15:07.7,-18:03:36.8,38.7,-53,163076
[HSP2005] J221525.47-171442.71,43.950*,0.264,3405,SNIa,2006A&A...447...31A,15:25.5,-17:14:42.7,40,-52.7,159693
[AGR2006] J221528.14-174948.6,43.521*,0.135,3219,SNIa,2006A&A...447...31A,15:28.1,-17:49:48.7,39.1,-53,127060
[AGR2006] J221557.11-174143.9,42.961*,0.061,2424,SNIa,2006A&A...447...31A,15:57.1,-17:41:43.9,39.4,-53,133323
[AGR2006] J221609.91-180439.1,42.708*,0.069,2371,SNIa,2006A&A...447...31A,16:09.9,-18:04:39.2,38.8,-53.2,109751
SNLS 03D4cw,39.11,0.55,664,SNII,2006ApJ...645..841N,16:11.6,-17:14:00.7,40.1,-52.9,42726
[HSP2005] J221614.47-172344.37,43.353*,0.076,2615,SNIa,2006A&A...447...31A,16:14.5,-17:23:44.4,39.9,-53,157295
[HSP2005] J221634.60-171613.55,43.532*,0.304,2798,SNIa,2006A&A...447...31A,16:34.6,-17:16:13.6,40.1,-53,160520
[AGR2006] J221640.18-180951.8,42.562*,0.09,2044,SNIa,2006A&A...447...31A,16:40.2,-18:09:51.8,38.8,-53.3,130153
[HSP2005] J221641.87-175534.54,43.023*,0.086,2374,SNIa,2006A&A...447...31A,16:41.9,-17:55:34.5,39.1,-53.3,144982
[AGR2006] J221644.66-175002.3,44.000*,0.29,3218,SNIa,2006A&A...447...31A,16:44.7,-17:50:02.4,39.3,-53.2,176052
SSA 22a MD46,46.76**,0.56,3903,HII LF,2005MNRAS.356.1117S,17:27.3,+00:18:10.0,63.1,-44,265987
[AGR2006] J221731.04-173746.9,42.746*,0.035,2177,SNIa,2006A&A...447...31A,17:31.0,-17:37:46.9,39.7,-53.3,135393
SSA 22a D03,49.71**,0.43,15200,HII LF,2005MNRAS.356.1117S,17:32.4,+00:11:32.9,63,-44,265909
SSA 22a MD041,48.96**,0.85,13870,HII LF,2005MNRAS.356.1117S,17:39.9,+00:17:11.0,63.1,-44,245566
GRB 060604,46.48*,0.63,5372,GRB,2006astro.ph.12285S,28:58.0,-10:54:00.0,51.8,-52.8,258562
GRB 050820,46.70*,0.66,6057,GRB,2006astro.ph.12285S,29:38.2,+19:33:35.1,82.8,-32,257107
GRB 990712,<42.13**,0.33,1358,GRB,2006astro.ph..9262M,31:53.1,-73:24:28.6,315.3,-40.2,103458
GRB 990712,41.63*,0.53,1478,GRB,2006astro.ph.12285S,31:53.1,-73:24:28.6,315.3,-40.2,103458
DSF 2237+116a C02,47.73**,0.25,5764,HII LF,2005MNRAS.356.1117S,40:08.3,+11:49:04.8,79.3,-39.7,269445
GRB 020903,40.79*,1.14,1151,GRB,2006astro.ph.12285S,49:27.0,-20:54:00.0,38.9,-61.5,65808
GRB 010921,41.71**,0.62,1106,GRB,2006astro.ph..9262M,55:59.9,+40:55:52.8,100.5,-16.9,106696
GRB 010921,42.35*,0.6,2034,GRB,2006astro.ph.12285S,55:59.9,+40:44:42.8,100.5,-16.9,106696
PKS 2254+074,39.93*,. .,814,BL Lac M,2005ApJ...635..173S,57:17.3,+07:43:12.3,80.4,-45.5,51630
GRB 051111,44.58*,0.69,3232,GRB,2006astro.ph.12285S,12:33.2,+18:22:29.1,92.4,-38.6,219846
1ES 2326+174,40.17*,. . .,892,BL Lac M,2005ApJ...635..173S,29:03.3,+17:43:30.0,96.6,-40.9,57180
H-ZSNS J233035.80+001640.0,44.19*,0.34,3088,SNIa,2004ApJ...607..665R,30:35.8,+00:16:40.0,84.3,-56.4,199408
H-ZSNS J233041.36+001842.7,42.75*,0.24,2365,SNIa,2004ApJ...607..665R,30:41.4,+00:18:42.7,84.4,-56.4,115305
H-ZSNS J233153.03+000932.3,41.00*,0.41,1238,SNIa,2004ApJ...607..665R,31:53.0,+00:09:32.3,84.7,-56.7,72539
GRB 051022,43.95*,0.42,3426,GRB,2006astro.ph.12285S,56:00.0,+19:36:00.0,105.4,-41.4,158381
GRB 980703,44.31**,0.45,2702,GRB,2006astro.ph..9262M,59:05.0,+08:33:36.0,101.5,-52.1,176578
GRB 980703,44.07*,0.4,3314,GRB,2006astro.ph.12285S,59:05.0,+08:33:36.0,101.5,-52.1,176578
"H 2356-309; LEDA 141426",39.46*,. . .,669,BL Lac M,2005ApJ...635..173S,59:07.9,-30:37:41.4,12.8,-78,45455
SN 2003XX,43.97*,0.29,3216,SNIa,2006astro.ph.11572R,XX,XX,XX,XX,173410
